"Parent.Tree.Number","Vegetation.Code","Parent.Tree.Reg.Status.Code","Local.Number","Active.Ind","Tested.Ind","Breeding.Program.Ind","Selection.Date","BC.Source.Ind","Client.Number","Client.Locn.Code","Natural.Selection.Type.Code","Geographic.Location","Latitude.Degrees","Latitude.Minutes","Latitude.Seconds","Longitude.Degrees","Longitude.Minutes","Longitude.Seconds","Seed.Plan.Zone.Code","Elevation","Selection.Age","BGC.Zone.Code","BGC.Subzone.Code","BGC.Variant","Breeding.Selection.Type.Code","Female.Parent.Parent.Tree.Number","Male.Parent.Parent.Tree.Number","Parent.Tree.Comment","Latitude","Longitude"
4722,"PLI","APP","","Y","Y","Y","2008-04-14","Y",103247,0,"PT","RUMBALL CK",50,38,0,119,18,0,"SA",1290,23,"ICH","mw",2,"FS",845,NA,"The PT No 4722 above is a favourably valued Forward Selectioin harvested from Harris Creek (Local test EP0770.20.13) for Seed Prodution purposes. The information below on this screen refers to the maternal source (Mat Link): PT 845 which is part of the initial test population in multi-genertional breeding.",50.6333333333333,-119.3
4723,"PLI","APP","","Y","Y","Y","2008-04-15","Y",103247,0,"PT","BUGCAMP CR",51,10,0,119,31,0,"SA",900,23,"ICH","mw",3,"FS",1444,NA,"The PT No 4723 above is a favourably valued Forward Selectioin harvested from Harris Creek (Local test EP0770.20.13) for Seed Prodution purposes. The information below on this screen refers to the maternal source (Mat Link): PT 1444 which is part of the initial test population in multi-genertional breeding.",51.1666666666667,-119.516666666667
4724,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","RUMBALL CK",50,40,0,119,18,0,"SA",900,23,"IDF","mw",1,"FS",844,NA,"The PT No. 4724 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 844 which is part of the initial test population in multi-generational breeding.",50.6666666666667,-119.3
4725,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","E CANOE CR",50,41,0,119,11,0,"SA",925,23,"IDF","mw",1,"FS",1149,NA,"The PT No. 4725 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1149 which is part of the initial test population in multi-generational breeding.",50.6833333333333,-119.183333333333
4726,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","BUGCAMP CREEK",51,10,0,119,31,0,"SA",900,23,"ICH","mw",3,"FS",1444,NA,"The PT No. 4726 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1444 which is part of the initial test population in multi-generational breeding.",51.1666666666667,-119.516666666667
4727,"PLI","APP","","Y","Y","Y","2008-04-15","Y",103247,0,"PT","RUMBALL CK",50,38,0,119,18,0,"SA",1290,23,"ICH","mw",2,"FS",845,NA,"The PT No. 4727 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 845 which is part of the initial test population in multi-generational breeding.",50.6333333333333,-119.3
4728,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","E CANOE CR",50,41,0,119,11,0,"SA",925,23,"IDF","mw",1,"FS",1149,NA,"The PT No. 4728 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1149 which is part of the initial test population in multi-generational breeding.",50.6833333333333,-119.183333333333
4729,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","CORNING CR",50,57,0,119,33,0,"EK",1220,23,"MS","dk",NA,"FS",1169,NA,"The PT No. 4729 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1169 which is part of the initial test population in multi-generational breeding.",50.95,-119.55
4730,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","CORNING CR",50,57,0,119,31,0,"SA",1020,23,"IDF","mw",2,"FS",1450,NA,"The PT No. 4730 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1450 which is part of the initial test population in multi-generational breeding.",50.95,-119.516666666667
4731,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","50 41	119 12	LARCH HILLS",50,41,0,119,12,0,"SA",960,23,"ICH","mw",2,"FS",1766,NA,"The PT No. 4731 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1766 which is part of the initial test population in multi-generational breeding.",50.6833333333333,-119.2
4732,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","SETTLERS RD",50,27,0,115,38,0,"EK",1075,23,"MS","dk",2,"FS",1694,NA,"The PT No. 4732 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1694 which is part of the initial test population in multi-generational breeding.",50.45,-115.633333333333
4733,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","GORMAN LK RD",50,13,0,120,14,0,"TOA",1040,23,"IDF","xh",2,"FS",1202,NA,"The PT No. 4733 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1202 which is part of the initial test population in multi-generational breeding.",50.2166666666667,-120.233333333333
4734,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","SILVER STAR",50,20,0,119,7,0,"TOD",1125,23,"IDF","mw",1,"FS",865,NA,"The PT No. 4734 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 865 which is part of the initial test population in multi-generational breeding.",50.3333333333333,-119.116666666667
4735,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","SETTLERS RD",50,35,0,115,47,0,"EK",1075,23,"MS","dk",2,"FS",1689,NA,"The PT No. 4735 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1689 which is part of the initial test population in multi-generational breeding.",50.5833333333333,-115.783333333333
4736,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","SILVER STAR",50,20,0,119,7,0,"TOD",1125,23,"IDF","mw",1,"FS",865,NA,"The PT No. 4736above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 865 which is part of the initial test population in multi-generational breeding.",50.3333333333333,-119.116666666667
4737,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","LARCH HILLS",50,41,0,119,13,0,"SA",960,23,"IDF","mw",1,"FS",1774,NA,"The PT No. 4737 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1774 which is part of the initial test population in multi-generational breeding.",50.6833333333333,-119.216666666667
4738,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","50 26	118 53	STYX CR	1006",50,26,0,118,53,0,"SA",1006,23,"IDF","mw",1,"FS",1371,NA,"The PT No. 4738 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1371 which is part of the initial test population in multi-generational breeding.",50.4333333333333,-118.883333333333
